Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 32.05      4.08     4.08 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_f
 24.59      7.21     3.13 82124800     0.00     0.00  __fields_class_MOD_field_get_elem_sub
 16.65      9.33     2.12     3208     0.00     0.00  __solver_MOD_solve_leapfrog
 12.02     10.86     1.53 41062400     0.00     0.00  __fields_class_MOD_field_add_elem_2
  6.28     11.66     0.80 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_add_25d_f
  2.91     12.03     0.37     3208     0.00     0.00  __solver_MOD_compute_fint
  2.20     12.31     0.28                             _init
  0.86     12.42     0.11   435203     0.00     0.00  __spec_grid_MOD___copy_spec_grid_Sem_grid_type
  0.63     12.50     0.08 41062400     0.00     0.00  __mat_gen_MOD_mat_fint
  0.31     12.54     0.04 84774401     0.00     0.00  __prop_mat_MOD_mat_iskind_elem
  0.31     12.58     0.04     3208     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_apply
  0.24     12.61     0.03 10560033     0.00     0.00  __utils_MOD_invert2
  0.24     12.64     0.03   422400     0.00     0.00  __fields_class_MOD_field_strain_elem
  0.24     12.67     0.03     6418     0.00     0.00  __bc_dynflt_MOD___copy_bc_dynflt_Bc_dynflt_input_type
  0.08     12.68     0.01  1689600     0.00     0.00  __mxmlib_MOD_mxm
  0.08     12.69     0.01   422401     0.00     0.00  __spec_grid_MOD_se_inversejacobian_e
  0.08     12.70     0.01   422400     0.00     0.00  __mat_elastic_MOD_mat_elast_stress
  0.08     12.71     0.01     3209     0.00     0.00  __bc_dynflt_swf_MOD_swf_mu
  0.08     12.72     0.01        1     0.01     0.02  __init_MOD_init_main
  0.08     12.73     0.01        1     0.01     0.01  __spec_grid_MOD_se_init
  0.00     12.73     0.00 41510400     0.00     0.00  __mat_elastic_MOD_mat_iselastic
  0.00     12.73     0.00 41510400     0.00     0.00  __mat_kelvin_voigt_MOD_mat_iskelvinvoigt
  0.00     12.73     0.00   921604     0.00     0.00  __prop_elem_MOD_prop_get_1
  0.00     12.73     0.00   921604     0.00     0.00  __prop_mat_MOD_mat_getprop_e
  0.00     12.73     0.00   844800     0.00     0.00  __fields_class_MOD_field_get_elem_2
  0.00     12.73     0.00   464423     0.00     0.00  __fem_grid_MOD_fe_getelementcoord
  0.00     12.73     0.00   435200     0.00     0.00  __mat_damage_MOD_mat_isdamage
  0.00     12.73     0.00   435200     0.00     0.00  __mat_plastic_MOD_mat_isplastic
  0.00     12.73     0.00   435200     0.00     0.00  __mat_visco_MOD_mat_isvisco
  0.00     12.73     0.00   422400     0.00     0.00  __mat_gen_MOD_mat_strain_gen
  0.00     12.73     0.00   422400     0.00     0.00  __mat_gen_MOD_mat_stress_dv
  0.00     12.73     0.00   102400     0.00     0.00  __utils_MOD_sub2ind_b
